,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
42331,12503499,홀릭바베,Q01A01,128.599988700256,35.860253692062,대구광역시,중구,대봉동
33261,17083794,갈산집꼼장어,Q03A14,128.463535001661,35.8586222918104,대구광역시,달성군,다사읍
57044,15566417,나지무,Q01A04,128.602570215966,35.8560856727817,대구광역시,중구,대봉동
15979,20279365,커피판다,Q12A01,128.571539410224,35.8781214147286,대구광역시,서구,비산동
25355,17009299,메이드바이유,Q12A01,128.646566697852,35.8571548889587,대구광역시,수성구,만촌동
27515,23234289,탈랜트가요주점,Q09A10,128.628622918134,35.8730412472614,대구광역시,동구,신천동
59160,22117531,대원각반점,Q02A00,128.599408390799,35.836110090922,대구광역시,남구,봉덕동
24429,16975599,스시영,Q03A02,128.613678239219,35.8966970166351,대구광역시,북구,산격동
35830,17107998,교동스낵,Q04A01,128.598414096915,35.8717263656794,대구광역시,중구,동문동
84693,17521263,자갈치무침,Q01A01,128.663616256866,35.8809378599188,대구광역시,동구,방촌동
75177,23430346,돈절미,Q01A99,128.641877495974,35.9209391685292,대구광역시,동구,봉무동
7299,12441797,지코바양념치킨,Q01A01,128.697996313834,35.8686473563634,대구광역시,동구,율하동
95781,18104315,묘한타로,Q12A05,128.630755690069,35.8724712501879,대구광역시,동구,신천동
14556,16767851,뮤빔,Q06A01,128.598663365507,35.8665875887919,대구광역시,중구,삼덕동1가
18136,16698102,시골숯불치킨,Q09A01,128.605591926435,35.8981711565323,대구광역시,북구,산격동
96588,18134444,오!해삐,Q08A01,128.53831018107,35.8069527579708,대구광역시,달서구,도원동
68937,16442156,헵번1953,Q12A01,128.640007956074,35.8869245253725,대구광역시,동구,효목동
60930,28157703,두원즉석두부,Q01A11,128.620559404685,35.8742548858923,대구광역시,동구,신천동
22265,16971034,나드리김밥,Q04A01,128.418005942838,35.6555626557388,대구광역시,달성군,구지면
75486,15727740,아지야분식,Q04A01,128.499602699396,35.8560171129151,대구광역시,달서구,신당동
7948,23216881,스타벅스,Q12A01,128.591953455867,35.8874864191681,대구광역시,북구,침산동
50158,12490687,신라식당,Q01A01,128.580457145293,35.8739145490611,대구광역시,중구,달성동
69447,20347096,전주식콩나물해장국,Q01A05,128.695868995346,35.8418995496103,대구광역시,수성구,시지동
10602,25906168,해오름회,Q03A01,128.544407462696,35.9252242208717,대구광역시,북구,태전동
34982,12003765,본죽&비빔밥CAFE대구경북대병원점,Q10A01,128.603200320655,35.8661863409542,대구광역시,중구,삼덕동2가
63973,16205577,60계치킨,Q05A08,128.690617026218,35.8643096005688,대구광역시,동구,율하동
31218,17077601,칠성로막창,Q01A03,128.594023179621,35.8798690606138,대구광역시,북구,칠성동2가
91023,17756540,수목원한우잡는날,Q01A99,128.518802302266,35.8085888161515,대구광역시,달서구,진천동
15332,16729681,더리터,Q12A01,128.463756544278,35.8586394635526,대구광역시,달성군,다사읍
4295,25300520,해선정,Q01A01,128.448616394854,35.6943911899161,대구광역시,달성군,현풍읍
11679,16665842,자성화코다리,Q03A99,128.624674825008,35.9836167348089,대구광역시,동구,송정동
93166,17915627,락참치연어,Q03A04,128.454281578984,35.6977319977442,대구광역시,달성군,현풍읍
55407,27419340,찬주수산,Q03A02,128.56717894522,35.8583400004252,대구광역시,달서구,두류동
31278,17055497,장수복집,Q03A20,128.613293123375,35.9056490554,대구광역시,북구,산격동
25327,16052822,경대학생식당및매점,Q14A01,128.60181674798,35.8706548226058,대구광역시,중구,동인동2가
65991,16383126,마라전설,Q05A08,128.582977740534,35.8536676304054,대구광역시,남구,대명동
86732,17531965,등원,Q02A00,128.716552001132,35.8362889712079,대구광역시,수성구,신매동
25788,17017525,153커피팩토리,Q12A01,128.598954685653,35.8640984867759,대구광역시,중구,봉산동
90543,17746367,바삭하닭,Q05A08,128.618355102732,35.8727610472882,대구광역시,동구,신천동
12510,20637283,서민식당,Q01A01,128.606878500966,35.8678893427481,대구광역시,중구,동인동4가
86067,17462851,뚱땡이분식,Q01A01,128.637039192144,35.8190527124368,대구광역시,수성구,지산동
45817,17145782,엉클더쿡,Q01A01,128.612943537424,35.8343923979387,대구광역시,수성구,상동
17184,16699603,동산옻닭,Q01A01,128.616539095033,35.8756365790912,대구광역시,동구,신천동
